sending_region,receiving_region,milliseconds
asia-south2,asia-northeast3,142
europe-west6,us-west4,151
northamerica-northeast2,europe-west9,90
asia-northeast2,europe-west2,225
us-central1,southamerica-west1,145
asia-south2,europe-north1,186
europe-central2,europe-southwest1,41
asia-northeast3,northamerica-northeast1,177
australia-southeast1,us-south1,171
europe-west9,asia-southeast1,193
northamerica-northeast1,us-east5,20
us-east5,us-east1,25
asia-northeast3,europe-west1,249
australia-southeast1,europe-west6,283
europe-west1,us-east1,91
europe-west6,europe-west9,15
northamerica-northeast2,northamerica-northeast1,8
northamerica-northeast1,europe-west2,77
us-east5,us-west4,57
asia-south2,us-west1,229
asia-south1,australia-southeast1,152
asia-northeast2,us-west3,120
australia-southeast2,asia-south2,152
asia-southeast2,southamerica-west1,284
europe-west8,southamerica-west1,215
asia-east1,asia-east2,13
asia-east1,northamerica-northeast1,178
southamerica-west1,europe-west2,197
southamerica-west1,asia-southeast2,284
us-west1,us-south1,37
asia-south1,us-central1,251
europe-north1,europe-west1,32
asia-northeast3,us-central1,163
asia-northeast1,us-west1,91
asia-east2,us-west3,152
europe-west6,europe-west2,18
us-east1,northamerica-northeast2,32
europe-west2,europe-southwest1,26
europe-west9,asia-southeast2,206
northamerica-northeast1,europe-west3,88
asia-southeast1,asia-south2,68
asia-northeast2,southamerica-east1,263
asia-south1,europe-west3,133
europe-central2,us-central1,124
asia-south1,europe-west8,124
southamerica-west1,europe-north1,223
us-east4,southamerica-east1,114
australia-southeast1,us-central1,175
southamerica-west1,us-east4,122
asia-northeast2,europe-north1,256
europe-central2,asia-south2,171
us-west2,europe-southwest1,160
us-west2,us-west4,6
europe-west3,asia-south1,133
asia-southeast2,asia-south2,81
asia-east1,asia-south2,115
us-west2,asia-south2,233
europe-west4,asia-south2,161
australia-southeast1,europe-west2,262
europe-west4,europe-west3,7
australia-southeast2,us-east1,210
asia-east1,us-west1,119
europe-west2,asia-southeast2,213
europe-west9,asia-northeast3,250
southamerica-east1,asia-southeast2,334
europe-west2,asia-south1,140
northamerica-northeast2,europe-west8,104
asia-northeast2,europe-west1,232
asia-northeast3,europe-west6,262
europe-southwest1,europe-west6,25
europe-west9,us-south1,109
australia-southeast2,europe-west4,282
us-east4,europe-west1,80
us-east1,europe-west2,87
northamerica-northeast2,us-west1,54
australia-southeast1,asia-south2,160
northamerica-northeast1,australia-southeast2,209
